subjectId,subjectCond,chapter,level,playCount,playTime,deaths,badgesEarned,anglesUnlocked,steps,badgeDecision
3011,level badges,1,1,0,5,0,0,0,2,NULL
3011,level badges,1,3,0,19,0,0,0,5,NULL
3011,level badges,1,2,0,10,0,0,0,2,NULL
3011,level badges,1,5,2,52,3,0,4,6,NULL
3011,level badges,1,4,0,48,0,0,2,3,NULL
3011,level badges,1,7,0,29,0,0,3,2,NULL
3011,level badges,1,6,7,68,8,0,8,1,NULL
3011,level badges,1,9,1,44,1,0,6,2,NULL
3011,level badges,1,8,2,58,2,0,8,1,OPT-IN
3011,level badges,2,1,0,21,0,0,1,1,NULL
3011,level badges,2,3,1,55,1,0,6,11,NULL
3011,level badges,2,2,9,200,9,0,5,43,NULL
3011,level badges,2,4,2,14,3,0,0,0,OPT-OUT
3016,level badges,1,1,0,7,0,0,0,1,NULL
3016,level badges,1,3,0,11,0,0,0,5,NULL
3016,level badges,1,2,0,9,0,0,0,1,NULL
3016,level badges,1,5,1,63,1,0,2,3,NULL
3016,level badges,1,4,0,13,0,0,1,4,NULL
3016,level badges,1,7,0,32,0,0,4,4,NULL
3016,level badges,1,6,1,44,1,0,3,3,NULL
3016,level badges,1,9,0,46,0,0,8,2,NULL
3016,level badges,1,8,1,53,1,1,4,2,OPT-IN
3016,level badges,3,1,0,16,0,0,1,1,NULL
3016,level badges,3,3,0,26,0,1,5,2,OPT-IN
3016,level badges,3,2,1,24,1,0,3,12,NULL
3016,level badges,3,5,7,249,6,0,4,10,OPT-IN
3016,level badges,3,4,2,81,2,0,12,1,NULL
3016,level badges,2,1,0,14,0,0,1,1,NULL
3016,level badges,2,3,0,27,0,0,4,5,NULL
3016,level badges,2,2,6,241,4,0,11,12,NULL
3016,level badges,2,5,2,105,2,0,11,4,NULL
3016,level badges,2,4,1,41,1,1,9,3,OPT-IN
3016,level badges,2,7,0,51,0,1,9,5,OPT-IN
3016,level badges,2,6,4,127,3,1,22,4,OPT-IN
3221,no badges,1,1,3,40,0,0,0,6,NULL
3221,no badges,1,3,3,56,0,0,0,15,NULL
3221,no badges,1,2,3,32,0,0,0,13,NULL
3221,no badges,1,5,5,107,2,0,9,13,NULL
3221,no badges,1,4,3,53,0,0,4,11,NULL
3221,no badges,1,7,12,492,12,0,27,42,NULL
3221,no badges,1,6,6,170,3,0,12,22,NULL
3221,no badges,1,9,0,46,0,0,4,4,NULL
3221,no badges,1,8,1,52,1,0,4,6,NULL
3221,no badges,2,1,1,16,0,0,2,2,NULL
3221,no badges,2,2,7,196,8,0,6,15,NULL
3219,no badges,1,1,2,36,0,0,0,9,NULL
3219,no badges,1,3,4,64,2,0,0,20,NULL
3219,no badges,1,2,3,55,0,0,0,12,NULL
3219,no badges,1,5,6,164,5,0,8,8,NULL
3219,no badges,1,4,2,53,0,0,3,11,NULL
3219,no badges,1,7,0,46,0,0,4,3,NULL
3219,no badges,1,6,5,78,5,0,4,4,NULL
3219,no badges,1,9,0,46,0,0,4,4,NULL
3219,no badges,1,8,1,116,1,0,7,9,NULL
3219,no badges,3,1,0,12,0,0,1,1,NULL
3219,no badges,3,3,0,46,0,0,5,2,NULL
3219,no badges,3,2,3,73,2,0,7,6,NULL
3219,no badges,3,5,3,44,3,0,5,4,NULL
3219,no badges,3,4,1,31,1,0,2,3,NULL
3219,no badges,2,1,0,14,0,0,1,1,NULL
3219,no badges,2,3,0,42,0,0,4,4,NULL
3219,no badges,2,2,1,107,1,0,4,9,NULL
3219,no badges,2,5,0,58,0,0,7,6,NULL
3219,no badges,2,4,0,29,0,0,4,4,NULL
3219,no badges,2,7,0,69,0,0,7,10,NULL
3219,no badges,2,6,1,70,1,0,7,7,NULL
3005,level badges,1,1,0,11,0,0,0,1,NULL
3005,level badges,1,3,0,18,0,0,0,4,NULL
3005,level badges,1,2,0,38,0,0,0,4,NULL
3005,level badges,1,5,0,33,0,0,2,4,NULL
3005,level badges,1,4,0,20,0,0,1,4,NULL
3005,level badges,1,7,0,170,0,0,3,15,NULL
3005,level badges,1,6,0,28,0,0,3,4,NULL
3005,level badges,1,9,0,40,0,0,3,5,NULL
3005,level badges,1,8,1,118,1,0,5,10,OPT-IN
3005,level badges,2,1,1,69,1,0,1,2,NULL
3005,level badges,2,3,0,33,0,0,2,5,NULL
3005,level badges,2,2,1,46,1,0,2,3,NULL
3005,level badges,2,5,8,602,7,0,23,20,NULL
3005,level badges,2,4,1,53,1,0,4,2,OPT-IN
3005,level badges,2,6,0,0,0,0,0,0,OPT-OUT
3004,level badges,1,1,0,20,0,0,0,2,NULL
3004,level badges,1,3,0,19,0,0,0,6,NULL
3004,level badges,1,2,0,9,0,0,0,1,NULL
3004,level badges,1,5,0,37,0,0,2,3,NULL
3004,level badges,1,4,0,22,0,0,1,2,NULL
3004,level badges,1,7,0,43,0,0,4,4,NULL
3004,level badges,1,6,0,24,0,0,3,1,NULL
3004,level badges,1,9,0,46,0,0,4,5,NULL
3004,level badges,1,8,1,72,1,0,6,5,OPT-IN
3004,level badges,3,1,0,25,0,0,1,1,NULL
3004,level badges,3,3,8,308,6,0,19,18,OPT-IN
3004,level badges,3,2,1,29,1,0,3,2,NULL
3004,level badges,3,5,0,29,0,0,4,5,OPT-IN
3004,level badges,3,4,0,18,0,0,2,4,NULL
3004,level badges,3,7,0,0,0,0,0,0,NULL
3004,level badges,3,6,4,139,4,0,18,12,OPT-IN
3004,level badges,2,1,0,22,0,0,1,1,NULL
3004,level badges,2,3,1,49,1,0,5,4,NULL
3004,level badges,2,2,1,91,1,0,4,11,NULL
3004,level badges,2,5,4,215,4,0,19,13,NULL
3004,level badges,2,4,1,40,1,1,4,2,OPT-OUT
3004,level badges,2,7,0,60,0,0,5,7,OPT-IN
3004,level badges,2,6,1,78,1,1,7,3,OPT-IN
3007,level badges,1,1,0,8,0,0,0,1,NULL
3007,level badges,1,3,0,18,0,0,0,3,NULL
3007,level badges,1,2,0,15,0,0,0,4,NULL
3007,level badges,1,5,0,144,0,0,1,2,NULL
3007,level badges,1,4,0,21,0,0,1,1,NULL
3007,level badges,1,7,0,57,0,0,3,11,NULL
3007,level badges,1,6,0,67,0,0,3,5,NULL
3007,level badges,1,9,0,36,0,0,3,1,NULL
3007,level badges,1,8,3,158,2,1,14,3,OPT-IN
3007,level badges,2,1,0,20,0,0,1,1,NULL
3007,level badges,2,3,0,25,0,0,3,1,NULL
3007,level badges,2,2,0,33,0,0,2,3,NULL
3007,level badges,2,5,5,101,5,0,5,0,NULL
3007,level badges,2,4,0,66,0,1,4,7,OPT-IN
3001,level badges,1,1,0,8,0,0,0,1,NULL
3001,level badges,1,3,0,13,0,0,0,5,NULL
3001,level badges,1,2,0,9,0,0,0,2,NULL
3001,level badges,1,5,0,38,0,0,2,3,NULL
3001,level badges,1,4,0,14,0,0,1,3,NULL
3001,level badges,1,7,0,72,0,0,4,8,NULL
3001,level badges,1,6,1,35,1,0,4,3,NULL
3001,level badges,1,9,1,83,1,0,11,5,NULL
3001,level badges,1,8,2,71,2,1,10,7,OPT-IN
3001,level badges,3,1,0,13,0,0,1,1,NULL
3001,level badges,3,3,0,0,0,0,6,14,OPT-IN
3001,level badges,3,2,0,18,0,0,3,1,NULL
3001,level badges,2,1,0,20,0,0,1,1,NULL
3001,level badges,2,3,0,29,0,0,2,4,NULL
3001,level badges,2,2,0,21,0,0,2,5,NULL
3001,level badges,2,5,0,32,0,0,2,3,NULL
3001,level badges,2,4,1,41,1,1,4,6,OPT-IN
3001,level badges,2,7,1,78,1,1,10,5,OPT-IN
3001,level badges,2,6,1,61,1,1,8,4,OPT-IN
3223,level badges,1,1,3,38,0,0,0,4,NULL
3223,level badges,1,3,4,47,1,0,0,24,NULL
3223,level badges,1,2,3,39,0,0,0,18,NULL
3223,level badges,1,5,6,113,3,0,11,26,NULL
3223,level badges,1,4,3,44,0,0,4,20,NULL
3223,level badges,1,7,8,192,7,0,28,28,NULL
