subjectId,playCount,playTime,deaths,badgesEarned,anglesUnlocked,steps
3001,7,656,7,4,71,81
3002,13,621,16,0,47,73
3003,19,1293,11,3,87,69
3004,22,1395,20,2,112,112
3005,12,1279,11,0,49,83
3007,8,769,7,2,40,43
3008,12,1057,12,2,57,73
3009,7,976,7,6,76,125
3011,24,623,27,0,43,79
3013,18,949,4,10,112,122
3014,9,1033,9,8,117,124
3016,26,1280,22,5,114,85
3017,10,923,10,0,45,61
3101,47,1256,29,1,117,119
3102,44,1316,24,0,97,110
3103,49,1468,31,0,96,132
3104,60,1501,38,0,69,153
3105,36,1474,25,0,93,139
3106,54,1325,28,0,98,107
3107,31,1638,22,0,123,150
3108,60,1738,33,0,146,221
3109,35,1421,25,0,93,92
3110,42,2238,36,2,151,169
3111,35,1677,23,0,140,122
3112,30,1531,21,0,111,61
3113,28,1681,22,1,131,115
3114,34,1645,26,0,151,115
3115,22,1482,21,0,84,73
3116,25,1463,18,0,133,132
3117,33,1441,25,0,78,106
3118,62,1414,38,0,36,167
3201,38,853,20,0,58,66
3202,57,1248,29,0,73,119
3203,60,1227,42,0,110,110
3204,34,1227,20,0,75,98
3205,9,1149,7,0,70,68
3206,35,1377,23,0,66,117
3207,34,1371,15,0,97,144
3208,39,1250,21,0,79,88
3209,37,1100,21,0,24,111
3211,26,1286,21,2,106,94
3212,40,1304,22,0,77,126
3213,40,1283,26,0,87,117
3214,26,1295,17,0,67,129
3216,60,1101,33,0,69,107
3217,20,1150,14,0,27,90
3219,32,1253,21,0,84,137
3220,76,1285,44,0,75,154
3221,44,1260,26,0,68,149
3222,37,1289,24,0,96,106
3223,57,1515,32,2,119,277
