ID,Condition,VisitDate,PreGeoSum,PostGeoSum,PrePostGeoGain,PALS_MAP,PALS_PAP,PALS_PAV,SIC_SUM,IIGeo_SUM,IIGC_SUM,BIS_SUM,playCount,playTime,deaths,badgesEarned,anglesUnlocked,steps
3001,Aligned Badges,31-Mar-14,1,3,2,,,,,12,,,7,656,7,4,71,81
3002,Aligned Badges,31-Mar-14,4,8,4,,,,,6,,,13,621,16,0,47,73
3003,Aligned Badges,31-Mar-14,10,8,-2,4.5,1.25,2.67,,,,,19,1293,11,3,87,69
3004,Aligned Badges,31-Mar-14,1,8,7,,,,,6,,,22,1395,20,2,112,112
3005,Aligned Badges,31-Mar-14,10,8,-2,,,,,21,,,12,1279,11,0,49,83
3007,Aligned Badges,31-Mar-14,8,10,2,4,,,45,23,,,8,769,7,2,40,43
3008,Aligned Badges,31-Mar-14,8,9,1,6.2,2.6,4.25,55,17,,,12,1057,12,2,57,73
3009,Aligned Badges,31-Mar-14,8,12,4,,,,21,26,,,7,976,7,6,76,125
3011,Aligned Badges,31-Mar-14,3,8,5,3.8,1,2.5,51,8,,,24,623,27,0,43,79
3013,Aligned Badges,31-Mar-14,10,17,7,4,3.6,3.75,45,26,,,18,949,4,10,112,122
3014,Aligned Badges,31-Mar-14,9,16,7,4.2,3.2,3.5,65,19,,,9,1033,9,8,117,124
3016,Aligned Badges,31-Mar-14,0,0,0,,,,,10,,,26,1280,22,5,114,85
3017,Aligned Badges,31-Mar-14,12,11,-1,,,,,28,,,10,923,10,0,45,61
3101,Aligned Badges,8-May-14,8,12,4,6.4,3.6,3.25,72,17,32,22,47,1256,29,1,117,119
3102,Aligned Badges,8-May-14,5,12,7,5.8,2.6,3,71,20,28,29,44,1316,24,0,97,110
3103,No Badges,8-May-14,9,12,3,4.8,2,2.5,50,16,28,24,49,1468,31,0,96,132
3104,Aligned Badges,8-May-14,8,5,-3,4,1.67,1.67,66,11,24,24,60,1501,38,0,69,153
3105,No Badges,8-May-14,4,6,2,6.2,2.4,2.75,74,22,30,40,36,1474,25,0,93,139
3106,Aligned Badges,8-May-14,6,8,2,5.4,4.2,4.5,52,21,35,23,54,1325,28,0,98,107
3107,No Badges,8-May-14,9,11,2,5.6,1,1,61,22,26,26,31,1638,22,0,123,150
3108,Aligned Badges,8-May-14,10,10,0,5.75,5,5.33,72,22,25,24,60,1738,33,0,146,221
3109,No Badges,8-May-14,8,10,2,3.6,3.4,3.25,29,17,25,,35,1421,25,0,93,92
3110,Aligned Badges,8-May-14,11,12,1,6.5,6,5.75,75,25,32,37,42,2238,36,2,151,169
3111,No Badges,8-May-14,7,12,5,6.2,3.4,3.5,72,,,32,35,1677,23,0,140,122
3112,No Badges,8-May-14,12,15,3,6,4.8,5,64,14,30,18,30,1531,21,0,111,61
3113,No Badges,8-May-14,10,12,2,5.2,3.4,3,63,,,18,28,1681,22,1,131,115
3114,Aligned Badges,8-May-14,10,9,-1,5.2,1,1,60,,,22,34,1645,26,0,151,115
3115,No Badges,8-May-14,10,13,3,5.67,6,6.5,64,14,40,44,22,1482,21,0,84,73
3116,Aligned Badges,8-May-14,1,12,11,2.4,1.6,1.75,40,18,37,21,25,1463,18,0,133,132
3117,No Badges,8-May-14,6,7,1,4.2,4,4.5,42,19,30,,33,1441,25,0,78,106
3118,No Badges,8-May-14,5,6,1,3.6,2.2,2.75,37,8,22,31,62,1414,38,0,36,167
3119,Aligned Badges,8-May-14,9,11,2,5.2,2.6,3.25,48,15,,39,38,853,20,0,58,66
3201,Aligned Badges,9-May-14,4,6,2,5.2,2.4,3,38,,38,35,57,1248,29,0,73,119
3202,Aligned Badges,9-May-14,7,5,-2,6,3.6,5.5,,21,22,40,60,1227,42,0,110,110
3203,No Badges,9-May-14,6,7,1,6.2,3.8,4.75,63,13,36,40,34,1227,20,0,75,98
3204,Aligned Badges,9-May-14,9,10,1,3.6,1,1,33,18,24,26,9,1149,7,0,70,68
3205,No Badges,9-May-14,6,13,7,5.6,4.6,4.25,51,,,24,35,1377,23,0,66,117
3206,No Badges,9-May-14,3,3,0,4,1.2,1.5,46,,,35,34,1371,15,0,97,144
3207,No Badges,9-May-14,11,12,1,6.2,4.4,4.5,69,22,38,26,39,1250,21,0,79,88
3208,Aligned Badges,9-May-14,5,13,8,4,4,2.5,51,19,31,23,37,1100,21,0,24,111
3209,Aligned Badges,9-May-14,0,2,2,5,1.8,4.25,33,11,23,,26,1286,21,2,106,94
3211,Aligned Badges,9-May-14,9,9,0,6.2,4,4,68,22,32,,40,1304,22,0,77,126
3212,No Badges,9-May-14,8,7,-1,6.4,5.2,5.5,71,18,17,25,40,1283,26,0,87,117
3213,No Badges,9-May-14,6,12,6,6,1,2.75,81,6,29,28,26,1295,17,0,67,129
3214,Aligned Badges,9-May-14,10,11,1,6.4,5,3,65,26,35,37,60,1101,33,0,69,107
3216,Aligned Badges,9-May-14,3,9,6,5,2.6,2,48,15,37,35,20,1150,14,0,27,90
3217,No Badges,9-May-14,5,8,3,7,4.6,2,73,29,35,37,32,1253,21,0,84,137
3219,No Badges,9-May-14,0,3,3,6,5.6,4.75,79,15,40,43,76,1285,44,0,75,154
3220,Aligned Badges,9-May-14,9,7,-2,6,1.2,1.5,81,16,40,29,44,1260,26,0,68,149
3221,No Badges,9-May-14,13,13,0,4.25,2,2.5,32,26,32,23,37,1289,24,0,96,106
3222,No Badges,9-May-14,10,10,0,6.2,1.8,1.5,63,,,35,57,1515,32,2,119,277
3223,Aligned Badges,9-May-14,2,3,1,5.6,4.4,4.25,60,,,35,,,,,,
