subjectId,subjectCond,chapter,level,playCount,playTime,deaths,badgesEarned,anglesUnlocked,steps,badgeDecision
3001,level badges,1,1,1,8,0,0,0,1,NULL
3001,level badges,1,2,1,9,0,0,0,2,NULL
3001,level badges,1,3,1,13,0,0,0,5,NULL
3001,level badges,1,4,1,14,0,0,1,3,NULL
3001,level badges,1,5,1,38,0,0,2,3,NULL
3001,level badges,1,6,2,35,1,0,4,3,NULL
3001,level badges,1,7,1,72,0,0,4,8,NULL
3001,level badges,1,8,3,71,2,1,10,7,OPT-IN
3001,level badges,1,9,2,83,1,0,11,5,NULL
3001,level badges,2,1,1,20,0,0,1,1,NULL
3001,level badges,2,2,1,21,0,0,2,5,NULL
3001,level badges,2,3,1,29,0,0,2,4,NULL
3001,level badges,2,4,2,41,1,1,4,6,OPT-IN
3001,level badges,2,5,1,32,0,0,2,3,NULL
3001,level badges,2,6,2,61,1,1,8,4,OPT-IN
3001,level badges,2,7,2,78,1,1,10,5,OPT-IN
3001,level badges,3,1,1,13,0,0,1,1,NULL
3001,level badges,3,2,1,18,0,0,3,1,NULL
3001,level badges,3,3,1,0,0,0,6,14,OPT-IN
3002,level badges,1,1,1,10,0,0,0,2,NULL
3002,level badges,1,2,1,12,0,0,0,7,NULL
3002,level badges,1,3,2,27,1,0,0,9,NULL
3002,level badges,1,4,1,14,0,0,2,3,NULL
3002,level badges,1,5,2,48,1,0,4,9,NULL
3002,level badges,1,6,3,48,3,0,6,6,NULL
3002,level badges,1,7,7,346,7,0,20,32,NULL
3002,level badges,1,8,3,100,3,0,13,5,OPT-OUT
3002,level badges,1,9,2,16,1,0,2,0,NULL
3003,level badges,1,1,1,8,0,0,0,3,NULL
3003,level badges,1,2,1,10,0,0,0,1,NULL
3003,level badges,1,3,1,12,0,0,0,2,NULL
3003,level badges,1,4,1,15,0,0,1,3,NULL
3003,level badges,1,5,1,49,0,0,2,3,NULL
3003,level badges,1,6,1,19,0,0,3,1,NULL
3003,level badges,1,7,1,30,0,0,3,1,NULL
3003,level badges,1,8,2,208,0,1,6,4,OPT-IN
3003,level badges,1,9,1,25,0,0,3,1,NULL
3003,level badges,2,1,1,30,0,0,1,1,NULL
3003,level badges,2,2,6,223,2,0,7,8,NULL
3003,level badges,2,3,1,16,0,0,3,2,NULL
3003,level badges,2,4,5,92,3,1,12,10,OPT-IN
3003,level badges,2,5,3,104,1,0,9,9,NULL
3003,level badges,2,6,5,337,3,1,29,14,OPT-IN
3003,level badges,2,7,4,115,2,0,8,6,OPT-IN
3004,level badges,1,1,1,20,0,0,0,2,NULL
3004,level badges,1,2,1,9,0,0,0,1,NULL
3004,level badges,1,3,1,19,0,0,0,6,NULL
3004,level badges,1,4,1,22,0,0,1,2,NULL
3004,level badges,1,5,1,37,0,0,2,3,NULL
3004,level badges,1,6,1,24,0,0,3,1,NULL
3004,level badges,1,7,1,43,0,0,4,4,NULL
3004,level badges,1,8,2,72,1,0,6,5,OPT-IN
3004,level badges,1,9,1,46,0,0,4,5,NULL
3004,level badges,2,1,1,22,0,0,1,1,NULL
3004,level badges,2,2,2,91,1,0,4,11,NULL
3004,level badges,2,3,2,49,1,0,5,4,NULL
3004,level badges,2,4,2,40,1,1,4,2,OPT-OUT
3004,level badges,2,5,5,215,4,0,19,13,NULL
3004,level badges,2,6,2,78,1,1,7,3,OPT-IN
3004,level badges,2,7,1,60,0,0,5,7,OPT-IN
3004,level badges,3,1,1,25,0,0,1,1,NULL
3004,level badges,3,2,2,29,1,0,3,2,NULL
3004,level badges,3,3,9,308,6,0,19,18,OPT-IN
3004,level badges,3,4,1,18,0,0,2,4,NULL
3004,level badges,3,5,1,29,0,0,4,5,OPT-IN
3004,level badges,3,6,5,139,4,0,18,12,OPT-IN
3004,level badges,3,7,1,0,0,0,0,0,NULL
3005,level badges,1,1,1,11,0,0,0,1,NULL
3005,level badges,1,2,1,38,0,0,0,4,NULL
3005,level badges,1,3,1,18,0,0,0,4,NULL
3005,level badges,1,4,1,20,0,0,1,4,NULL
3005,level badges,1,5,1,33,0,0,2,4,NULL
3005,level badges,1,6,1,28,0,0,3,4,NULL
3005,level badges,1,7,1,170,0,0,3,15,NULL
3005,level badges,1,8,2,118,1,0,5,10,OPT-IN
3005,level badges,1,9,1,40,0,0,3,5,NULL
3005,level badges,2,1,2,69,1,0,1,2,NULL
3005,level badges,2,2,2,46,1,0,2,3,NULL
3005,level badges,2,3,1,33,0,0,2,5,NULL
3005,level badges,2,4,2,53,1,0,4,2,OPT-IN
3005,level badges,2,5,9,602,7,0,23,20,NULL
3005,level badges,2,6,1,0,0,0,0,0,OPT-OUT
3007,level badges,1,1,1,8,0,0,0,1,NULL
3007,level badges,1,2,1,15,0,0,0,4,NULL
3007,level badges,1,3,1,18,0,0,0,3,NULL
3007,level badges,1,4,1,21,0,0,1,1,NULL
