ID,GameID,Study,Condition,VisitDate,PreGeoSum,PostGeoSum,PrePostGeoGain,PALS_MAP,PALS_PAP,PALS_PAV,SIC_SUM,IIGeo_SUM,IIGC_SUM,BIS_SUM
3001,L3001,Playtesting,Aligned Badges,31-Mar-14,1.00,3.00,2.00,#NULL!,#NULL!,#NULL!,#NULL!,12.00,#NULL!,#NULL!
3002,L3002,Playtesting,Aligned Badges,31-Mar-14,4.00,8.00,4.00,#NULL!,#NULL!,#NULL!,#NULL!,6.00,#NULL!,#NULL!
3003,L3003,Playtesting,Aligned Badges,31-Mar-14,10.00,8.00,-2.00,4.50,1.25,2.67,#NULL!,#NULL!,#NULL!,#NULL!
3004,L3004,Playtesting,Aligned Badges,31-Mar-14,1.00,8.00,7.00,#NULL!,#NULL!,#NULL!,#NULL!,6.00,#NULL!,#NULL!
3005,L3005,Playtesting,Aligned Badges,31-Mar-14,10.00,8.00,-2.00,#NULL!,#NULL!,#NULL!,#NULL!,21.00,#NULL!,#NULL!
3007,L3007,Playtesting,Aligned Badges,31-Mar-14,8.00,10.00,2.00,4.00,#NULL!,#NULL!,45.00,23.00,#NULL!,#NULL!
3008,L3008,Playtesting,Aligned Badges,31-Mar-14,8.00,9.00,1.00,6.20,2.60,4.25,55.00,17.00,#NULL!,#NULL!
3009,L3009,Playtesting,Aligned Badges,31-Mar-14,8.00,12.00,4.00,#NULL!,#NULL!,#NULL!,21.00,26.00,#NULL!,#NULL!
3011,L3011,Playtesting,Aligned Badges,31-Mar-14,3.00,8.00,5.00,3.80,1.00,2.50,51.00,8.00,#NULL!,#NULL!
3013,L3013,Playtesting,Aligned Badges,31-Mar-14,10.00,17.00,7.00,4.00,3.60,3.75,45.00,26.00,#NULL!,#NULL!
3014,L3014,Playtesting,Aligned Badges,31-Mar-14,9.00,16.00,7.00,4.20,3.20,3.50,65.00,19.00,#NULL!,#NULL!
3016,L3016,Playtesting,Aligned Badges,31-Mar-14,0.00,0.00,0.00,#NULL!,#NULL!,#NULL!,#NULL!,10.00,#NULL!,#NULL!
3017,L3017,Playtesting,Aligned Badges,31-Mar-14,12.00,11.00,-1.00,#NULL!,#NULL!,#NULL!,#NULL!,28.00,#NULL!,#NULL!
3101,L3101-4,Badges II - v.1,Aligned Badges,8-May-14,8.00,12.00,4.00,6.40,3.60,3.25,72.00,17.00,32.00,22.00
3102,L3102-5,Badges II - v.1,Aligned Badges,8-May-14,5.00,12.00,7.00,5.80,2.60,3.00,71.00,20.00,28.00,29.00
3103,N3103,Badges II - v.1,No Badges,8-May-14,9.00,12.00,3.00,4.80,2.00,2.50,50.00,16.00,28.00,24.00
3104,L3104-7,Badges II - v.1,Aligned Badges,8-May-14,8.00,5.00,-3.00,4.00,1.67,1.67,66.00,11.00,24.00,24.00
3105,N3105-9,Badges II - v.1,No Badges,8-May-14,4.00,6.00,2.00,6.20,2.40,2.75,74.00,22.00,30.00,40.00
3106,L3106-2,Badges II - v.1,Aligned Badges,8-May-14,6.00,8.00,2.00,5.40,4.20,4.50,52.00,21.00,35.00,23.00
3107,N3107-7,Badges II - v.1,No Badges,8-May-14,9.00,11.00,2.00,5.60,1.00,1.00,61.00,22.00,26.00,26.00
3108,L3108-3,Badges II - v.1,Aligned Badges,8-May-14,10.00,10.00,0.00,5.75,5.00,5.33,72.00,22.00,25.00,24.00
3109,N3109-9,Badges II - v.1,No Badges,8-May-14,8.00,10.00,2.00,3.60,3.40,3.25,29.00,17.00,25.00,#NULL!
3110,L3110,Badges II - v.1,Aligned Badges,8-May-14,11.00,12.00,1.00,6.50,6.00,5.75,75.00,25.00,32.00,37.00
3111,N3110-5,Badges II - v.1,No Badges,8-May-14,7.00,12.00,5.00,6.20,3.40,3.50,72.00,#NULL!,#NULL!,32.00
3112,N3111-10,Badges II - v.1,No Badges,8-May-14,12.00,15.00,3.00,6.00,4.80,5.00,64.00,14.00,30.00,18.00
3113,N3112-1,Badges II - v.1,No Badges,8-May-14,10.00,12.00,2.00,5.20,3.40,3.00,63.00,#NULL!,#NULL!,18.00
3114,L3113-2,Badges II - v.1,Aligned Badges,8-May-14,10.00,9.00,-1.00,5.20,1.00,1.00,60.00,#NULL!,#NULL!,22.00
3115,N3114-8,Badges II - v.1,No Badges,8-May-14,10.00,13.00,3.00,5.67,6.00,6.50,64.00,14.00,40.00,44.00
3116,L3115-4,Badges II - v.1,Aligned Badges,8-May-14,1.00,12.00,11.00,2.40,1.60,1.75,40.00,18.00,37.00,21.00
3117,N3116-8,Badges II - v.1,No Badges,8-May-14,6.00,7.00,1.00,4.20,4.00,4.50,42.00,19.00,30.00,#NULL!
3118,N3117-1,Badges II - v.1,No Badges,8-May-14,5.00,6.00,1.00,3.60,2.20,2.75,37.00,8.00,22.00,31.00
3119,L3118-6,Badges II - v.1,Aligned Badges,8-May-14,9.00,11.00,2.00,5.20,2.60,3.25,48.00,15.00,#NULL!,39.00
3201,L3201-1,Badges II - v.1,Aligned Badges,9-May-14,4.00,6.00,2.00,5.20,2.40,3.00,38.00,#NULL!,38.00,35.00
3202,L3202,Badges II - v.1,Aligned Badges,9-May-14,7.00,5.00,-2.00,6.00,3.60,5.50,#NULL!,21.00,22.00,40.00
3203,N3203-4,Badges II - v.1,No Badges,9-May-14,6.00,7.00,1.00,6.20,3.80,4.75,63.00,13.00,36.00,40.00
3204,L3204,Badges II - v.1,Aligned Badges,9-May-14,9.00,10.00,1.00,3.60,1.00,1.00,33.00,18.00,24.00,26.00
3205,N3205-14,Badges II - v.1,No Badges,9-May-14,6.00,13.00,7.00,5.60,4.60,4.25,51.00,#NULL!,#NULL!,24.00
3206,N3206-8,Badges II - v.1,No Badges,9-May-14,3.00,3.00,0.00,4.00,1.20,1.50,46.00,#NULL!,#NULL!,35.00
3207,N3207-10,Badges II - v.1,No Badges,9-May-14,11.00,12.00,1.00,6.20,4.40,4.50,69.00,22.00,38.00,26.00
3208,L3208-13,Badges II - v.1,Aligned Badges,9-May-14,5.00,13.00,8.00,4.00,4.00,2.50,51.00,19.00,31.00,23.00
3209,L3209-6,Badges II - v.1,Aligned Badges,9-May-14,0.00,2.00,2.00,5.00,1.80,4.25,33.00,11.00,23.00,#NULL!
3211,L3211-9,Badges II - v.1,Aligned Badges,9-May-14,9.00,9.00,0.00,6.20,4.00,4.00,68.00,22.00,32.00,#NULL!
3212,N3212-5,Badges II - v.1,No Badges,9-May-14,8.00,7.00,-1.00,6.40,5.20,5.50,71.00,18.00,17.00,25.00
3213,N3213-4,Badges II - v.1,No Badges,9-May-14,6.00,12.00,6.00,6.00,1.00,2.75,81.00,6.00,29.00,28.00
3214,L3214-3,Badges II - v.1,Aligned Badges,9-May-14,10.00,11.00,1.00,6.40,5.00,3.00,65.00,26.00,35.00,37.00
3216,L3216-13,Badges II - v.1,Aligned Badges,9-May-14,3.00,9.00,6.00,5.00,2.60,2.00,48.00,15.00,37.00,35.00
3217,N3217-10,Badges II - v.1,No Badges,9-May-14,5.00,8.00,3.00,7.00,4.60,2.00,73.00,29.00,35.00,37.00
3219,N3219,Badges II - v.1,No Badges,9-May-14,0.00,3.00,3.00,6.00,5.60,4.75,79.00,15.00,40.00,43.00
3220,L3220,Badges II - v.1,Aligned Badges,9-May-14,9.00,7.00,-2.00,6.00,1.20,1.50,81.00,16.00,40.00,29.00
3221,N3221-2,Badges II - v.1,No Badges,9-May-14,13.00,13.00,0.00,4.25,2.00,2.50,32.00,26.00,32.00,23.00
3222,N3222-2,Badges II - v.1,No Badges,9-May-14,10.00,10.00,0.00,6.20,1.80,1.50,63.00,#NULL!,#NULL!,35.00
3223,L3223-7,Badges II - v.1,Aligned Badges,9-May-14,2.00,3.00,1.00,5.60,4.40,4.25,60.00,#NULL!,#NULL!,35.00
